         1          1          3
         1          1         11
         1          1         17
         1          1         21
         1          1         23
         1          1         25
         1          1         29
         1          1         34
         1          1         36
         2          2          3
         2          2         13
         2          2         17
         2          2         23
         2          2         24
         2          2         27
         2          2         28
         2          2         36
         2          2         39
         3          3          3
         3          3          8
         3          3         14
         3          3         17
         3          3         25
         3          3         35
         3          3         36
         4          4          3
         4          4          5
         4          4          6
         4          4          7
         4          4          8
         4          4          9
         4          4         12
         4          4         16
         4          4         17
         4          4         18
         4          4         19
         4          4         26
         4          4         29
         4          4         33
         4          4         36
         4          4         38
         4          4         39
         5          5          3
         5          5          4
         5          5          5
         5          5          8
         5          5         13
         5          5         15
         5          5         17
         5          5         19
         5          5         26
         5          5         28
         5          5         33
         5          5         36
         5          5         38
         5          5         39
         6          6          3
         6          6          5
         6          6         14
         6          6         16
         6          6         19
         6          6         35
         6          6         36
         7          7          0
         7          7          3
         7          7          6
         7          7          7
         7          7          9
         7          7         10
         7          7         11
         7          7         20
         7          7         23
         7          7         27
         7          7         28
         7          7         34
         7          7         35
         7          7         38
         8          8          0
         8          8          3
         8          8          6
         8          8          7
         8          8          8
         8          8          9
         8          8         10
         8          8         18
         8          8         28
         8          8         35
         8          8         39
         9          9          3
         9          9          8
         9          9          9
         9          9         11
         9          9         15
         9          9         22
         9          9         28
         9          9         35
         9          9         36
         9          9         37
        10         10          0
        10         10          3
        10         10          6
        10         10          7
        10         10          8
        10         10          9
        10         10         15
        10         10         17
        10         10         26
        10         10         28
        10         10         31
        10         10         34
        10         10         36
        10         10         38
        11         11          6
        11         11          9
        11         11         29
        11         11         32
        11         11         36
        11         11         38
        12         12          3
        12         12         17
        12         12         26
        12         12         34
        13         13          0
        13         13          3
        13         13          8
        13         13         11
        13         13         19
        13         13         21
        13         13         28
        14         14          2
        14         14          3
        14         14          5
        14         14         11
        14         14         13
        14         14         19
        14         14         33
        14         14         35
        14         14         36
        14         14         38
        14         14         39
        15         15          0
        15         15          3
        15         15          7
        15         15          8
        15         15          9
        15         15         11
        15         15         14
        15         15         17
        15         15         18
        15         15         21
        15         15         22
        15         15         26
        15         15         29
        15         15         32
        15         15         35
        15         15         36
        15         15         38
        15         15         39
        16         16         18
        16         16         19
        16         16         21
        16         16         35
        16         16         36
        17         17          8
        17         17         11
        17         17         14
        17         17         26
        17         17         27
        17         17         36
        17         17         38
        18         18          0
        18         18          3
        18         18         10
        18         18         12
        18         18         14
        18         18         17
        18         18         18
        18         18         24
        18         18         26
        18         18         27
        18         18         28
        18         18         29
        18         18         36
        18         18         38
        19         19          3
        19         19          6
        19         19         11
        19         19         26
        19         19         28
        19         19         29
        19         19         36
        19         19         38
        20         20          3
        20         20          8
        20         20         14
        20         20         17
        20         20         23
        20         20         24
        20         20         26
        20         20         29
        20         20         38
        21         21          3
        21         21          8
        21         21          9
        21         21         11
        21         21         17
        21         21         28
        21         21         38
        22         22          0
        22         22          3
        22         22          4
        22         22         11
        22         22         12
        22         22         14
        22         22         17
        22         22         18
        22         22         26
        22         22         28
        22         22         38
        22         22         39
        23         23          0
        23         23          1
        23         23          6
        23         23          9
        23         23         11
        23         23         17
        23         23         18
        23         23         22
        23         23         27
        23         23         28
        23         23         34
        23         23         36
        23         23         38
        24         24          3
        24         24          8
        24         24         10
        24         24         11
        24         24         13
        24         24         19
        24         24         27
        24         24         28
        24         24         36
        24         24         38
        25         25          9
        25         25         11
        25         25         23
        25         25         28
        25         25         34
        25         25         36
        25         25         38
        25         25         39
        26         26          3
        26         26          7
        26         26          9
        26         26         11
        26         26         18
        26         26         23
        26         26         29
        26         26         35
        26         26         38
        26         26         39
        27         27          0
        27         27          6
        27         27          8
        27         27          9
        27         27         21
        27         27         22
        27         27         28
        27         27         29
        27         27         35
        27         27         36
        27         27         38
        27         27         39
        28         28          8
        28         28         11
        28         28         12
        28         28         35
        29         29          7
        29         29          9
        29         29         11
        29         29         12
        29         29         14
        29         29         17
        29         29         23
        29         29         28
        29         29         29
        29         29         34
        29         29         35
        29         29         36
        29         29         38
        29         29         39
        30         30         14
        30         30         23
        30         30         26
        30         30         28
        30         30         29
        30         30         38
        30         30         39
        31         31          4
        31         31          7
        31         31          9
        31         31         11
        31         31         19
        31         31         26
        31         31         33
        31         31         34
        31         31         36
        31         31         38
        31         31         39
        32         32          9
        32         32         10
        32         32         13
        32         32         17
        32         32         20
        32         32         21
        32         32         23
        32         32         29
        32         32         31
        32         32         34
        32         32         35
        33         33          0
        33         33          3
        33         33         13
        33         33         17
        33         33         19
        33         33         29
        33         33         36
        33         33         38
        33         33         39
        34         34         13
        34         34         14
        34         34         23
        34         34         29
        34         34         33
        34         34         34
        34         34         36
        34         34         38
        35         35          9
        35         35         11
        35         35         13
        35         35         14
        36         36          9
        36         36         11
        36         36         14
        36         36         17
        36         36         21
        36         36         26
        36         36         36
        36         36         38
        37         37          3
        37         37          5
        37         37         12
        37         37         13
        37         37         14
        37         37         16
        37         37         19
        37         37         21
        37         37         29
        37         37         38
        38         38          4
        38         38          8
        38         38         10
        38         38         14
        38         38         21
        38         38         25
        38         38         29
        38         38         36
        38         38         38
        38         38         39
        39         39          7
        39         39         11
        39         39         12
        39         39         28
        39         39         29
        39         39         35
        39         39         38
        40         40          3
        40         40         21
        40         40         25
        40         40         31
        40         40         36
        41         41          7
        41         41          9
        41         41         23
        41         41         28
        41         41         29
        41         41         36
        41         41         38
        41         41         39
        42         42          2
        42         42          3
        42         42          4
        42         42          5
        42         42          9
        42         42         10
        42         42         14
        42         42         17
        42         42         28
        42         42         35
        42         42         36
        43         43          7
        43         43         10
        43         43         21
        43         43         28
        43         43         33
        43         43         38
        44         44          0
        44         44          7
        44         44          9
        44         44         35
        44         44         36
        45         45          4
        45         45          8
        45         45         12
        45         45         14
        45         45         16
        45         45         17
        45         45         26
        45         45         27
        45         45         28
        45         45         32
        45         45         38
        45         45         39
        46         46          8
        46         46         12
        46         46         23
        46         46         29
        46         46         33
        46         46         38
        47         47          0
        47         47          5
        47         47         11
        47         47         14
        47         47         17
        47         47         26
        47         47         29
        47         47         34
        47         47         36
        47         47         38
        47         47         39
        48         48          3
        48         48          6
        48         48          8
        48         48          9
        48         48         11
        48         48         12
        48         48         17
        48         48         21
        48         48         22
        48         48         27
        48         48         28
        48         48         35
        48         48         36
        48         48         38
        48         48         39
        49         49          1
        49         49          3
        49         49          5
        49         49          8
        49         49         35
        49         49         36
        49         49         38
        49         49         39
        50         50          3
        50         50          5
        50         50          7
        50         50         11
        50         50         14
        50         50         18
        50         50         21
        50         50         34
        50         50         36
        50         50         38
        51         51          1
        51         51          7
        51         51         21
        51         51         25
        51         51         29
        51         51         36
        52         52          3
        52         52          6
        52         52          7
        52         52         11
        52         52         14
        52         52         17
        52         52         20
        52         52         31
        52         52         36
        52         52         39
        53         53          0
        53         53          3
        53         53         14
        53         53         17
        53         53         21
        53         53         33
        53         53         35
        53         53         36
        53         53         38
        54         54          7
        54         54          8
        54         54         17
        54         54         33
        54         54         38
        55         55          3
        55         55          7
        55         55         11
        55         55         14
        55         55         36
        55         55         38
        55         55         39
        56         56          7
        56         56          8
        56         56          9
        56         56         10
        56         56         11
        56         56         14
        56         56         16
        56         56         17
        56         56         19
        56         56         20
        56         56         21
        56         56         25
        56         56         35
        56         56         36
        56         56         38
        56         56         39
        57         57          3
        57         57          4
        57         57          8
        57         57         10
        57         57         36
        57         57         39
        58         58          5
        58         58          7
        58         58          8
        58         58          9
        58         58         10
        58         58         11
        58         58         12
        58         58         17
        58         58         26
        58         58         36
        58         58         38
        59         59          5
        59         59          7
        59         59          8
        59         59         11
        59         59         12
        59         59         21
        59         59         26
        59         59         31
        59         59         36
        60         60          0
        60         60          7
        60         60          8
        60         60         14
        60         60         17
        60         60         28
        60         60         36
        61         61          3
        61         61          4
        61         61          8
        61         61          9
        61         61         10
        61         61         11
        61         61         14
        61         61         17
        61         61         21
        61         61         25
        61         61         27
        61         61         28
        61         61         33
        61         61         38
        61         61         39
        62         62          9
        62         62         11
        62         62         12
        62         62         21
        62         62         24
        62         62         25
        62         62         36
        62         62         38
        62         62         39
        63         63         14
        63         63         23
        63         63         35
        63         63         38
        63         63         39
        64         64          7
        64         64          9
        64         64         17
        64         64         26
        64         64         36
        64         64         38
        64         64         39
        65         65          0
        65         65          8
        65         65         13
        65         65         15
        65         65         17
        65         65         27
        65         65         35
        65         65         38
        65         65         39
        66         66          9
        66         66         19
        66         66         38
        67         67          0
        67         67          3
        67         67         13
        67         67         17
        67         67         31
        67         67         35
        67         67         39
